,open,high,low,close,candlestick_pattern,candlestick_match_count
247,40551.15000000,40625.65000000,40481.97000000,40582.83000000,CDLSPINNINGTOP_Bull,1.0
248,40582.13000000,40643.84000000,40560.00000000,40635.52000000,CDLCLOSINGMARUBOZU_Bull,1.0
249,40635.53000000,40635.53000000,40500.03000000,40508.00000000,CDLCLOSINGMARUBOZU_Bear,4.0
250,40508.01000000,40641.22000000,40417.79000000,40417.79000000,CDL3OUTSIDE_Bear,2.0
251,40417.80000000,40477.75000000,40269.00000000,40351.85000000,NO_PATTERN,0.0
252,40351.69000000,40490.17000000,40345.53000000,40440.89000000,CDLBELTHOLD_Bull,2.0
253,40440.89000000,40581.41000000,40430.76000000,40547.85000000,CDL3OUTSIDE_Bull,2.0
254,40547.85000000,40574.45000000,40450.00000000,40522.46000000,CDLSPINNINGTOP_Bear,1.0
255,40515.90000000,40624.97000000,40469.05000000,40595.05000000,CDLHIKKAKE_Bear,2.0
256,40595.05000000,40721.58000000,40573.28000000,40657.24000000,CDL3OUTSIDE_Bull,1.0
257,40660.83000000,40674.20000000,40592.36000000,40642.27000000,NO_PATTERN,0.0
258,40648.35000000,40648.35000000,40577.00000000,40628.00000000,CDLHIKKAKE_Bull,1.0
259,40628.00000000,40764.16000000,40624.32000000,40762.52000000,CDLBELTHOLD_Bull,4.0
260,40762.51000000,40785.52000000,40679.16000000,40717.61000000,CDLHARAMI_Bear,1.0
261,40717.31000000,40721.26000000,40655.68000000,40692.44000000,CDLHAMMER_Bull,1.0
262,40692.44000000,40726.83000000,40692.44000000,40725.99000000,NO_PATTERN,0.0
263,40714.44000000,40791.93000000,40690.48000000,40690.59000000,NO_PATTERN,0.0
264,40690.47000000,40777.30000000,40683.92000000,40729.01000000,CDLENGULFING_Bull,1.0
265,40729.01000000,40935.37000000,40721.84000000,40935.36000000,CDL3OUTSIDE_Bull,4.0
266,40935.37000000,41086.95000000,40868.04000000,41036.92000000,NO_PATTERN,0.0
267,41034.81000000,41045.86000000,40924.29000000,40927.33000000,CDLXSIDEGAP3METHODS_Bull,4.0
268,40927.32000000,40998.09000000,40917.92000000,40973.58000000,CDLHIKKAKE_Bull,1.0
269,40979.26000000,40990.00000000,40904.86000000,40928.56000000,NO_PATTERN,0.0
270,40928.56000000,40937.08000000,40825.30000000,40923.79000000,CDLMATCHINGLOW_Bull,7.0
271,40925.31000000,41032.46000000,40925.30000000,40959.06000000,NO_PATTERN,0.0
272,40959.07000000,41019.39000000,40959.01000000,41001.01000000,NO_PATTERN,0.0
273,41001.01000000,41030.21000000,40961.54000000,41016.11000000,CDLHIKKAKE_Bear,1.0
274,41016.11000000,41016.17000000,40983.61000000,41002.21000000,NO_PATTERN,0.0
275,41002.20000000,41042.98000000,40997.77000000,41040.03000000,CDLHIKKAKE_Bear,2.0
276,41040.02000000,41044.80000000,40944.97000000,41000.29000000,CDLHAMMER_Bull,1.0
277,41000.28000000,41015.79000000,40963.21000000,40982.90000000,CDLHIKKAKE_Bear,1.0
278,40982.90000000,41044.79000000,40981.74000000,41006.09000000,CDLHIKKAKE_Bear,1.0
279,41002.70000000,41100.69000000,41002.70000000,41100.69000000,CDLBELTHOLD_Bull,3.0
280,41100.69000000,41240.00000000,41080.49000000,41234.00000000,CDLCLOSINGMARUBOZU_Bull,1.0
281,41234.01000000,41234.05000000,41112.00000000,41121.32000000,CDLBELTHOLD_Bear,1.0
282,41121.31000000,41124.08000000,41040.07000000,41085.27000000,CDLHAMMER_Bull,2.0
283,41085.28000000,41215.99000000,41085.21000000,41103.33000000,NO_PATTERN,0.0
284,41108.15000000,41109.83000000,41006.10000000,41043.43000000,CDLBELTHOLD_Bear,2.0
285,41043.44000000,41119.99000000,41034.90000000,41096.96000000,CDLHARAMI_Bull,1.0
286,41096.96000000,41145.99000000,41089.31000000,41123.40000000,CDL3INSIDE_Bull,1.0
287,41123.40000000,41145.98000000,41100.71000000,41135.11000000,NO_PATTERN,0.0
288,41136.49000000,41173.27000000,41110.07000000,41129.32000000,CDLRICKSHAWMAN_Bull,6.0
